id,OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF29,OF31,OF33,OF34,OF37,OF38,F1,F2,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F4,F5,F6,F7,F8,F9,F10,F11,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F62,F63,F64,F66b,F67,F68,S1,S2,S4,S5,WS,WS_Benefit,SFST,SFST_Benefit,SR,SR_Benefit,PR,PR_Benefit,NR,NR_Benefit,Provincial_Class,Federal_Class,Regime,Vegetation_Type,Vegetation_Cover,Woody_Canopy_Cover,Moss_Cover,Phragmites,Soil_Type,Surface_Water_Present,Saturation_Depth,Living_Moss_Depth,Organic_Depth,Hydrogeomorphic_Class,F65
131.0,2.0,5.0,7.0,1.0,3.0,0.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,0.46,0.0,4.0,4.0,3.0,1.0,0.0,3.0,5.0,1859.0,2.0,6.0,0.0,0.3333333333333333,0.3333333333333333,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,1.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,5.0,1.0,3.0,5.0,5.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,3.0,1.0,5.0,0.0,0.0,5.0,2.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,0.0,366.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,10.0,52.7,5.0,3.6
133.0,4.0,5.0,7.0,1.0,3.0,0.0,4.0,5.0,3.0,5.0,3.0,6.0,5.0,3.0,4.0,0.53,1.0,4.0,4.0,3.0,1.0,3.0,3.0,5.0,1677.0,2.0,6.0,0.0,0.0,0.3333333333333333,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,160.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,3.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,10.0,52.7,5.0,3.89
134.0,4.0,5.0,7.0,1.0,3.0,0.0,5.0,5.0,3.0,4.0,3.0,6.0,6.0,3.0,4.0,0.81,0.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,1464.0,0.0,6.0,0.0,0.6666666666666666,0.3333333333333333,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,3.0,192.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,5.0,102.96666666666665,5.0,4.04
136.0,5.0,5.0,7.0,1.0,3.0,0.0,4.0,4.0,3.0,4.0,1.0,1.0,4.0,2.0,4.0,0.59,0.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,1985.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,2.0,160.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0,5.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,5.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,2.0,6.0,1.0,7.0,0.0,1.0,45.0,0.0,0.0,0.0,0.0,0.138888889,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,2.0,2.6666666666666665,42.7,8.0,6.85
137.0,1.0,5.0,7.0,2.0,1.0,1.0,5.0,4.0,3.0,6.0,7.0,5.0,5.0,3.0,2.0,0.04,0.0,4.0,4.0,2.0,1.0,2.0,2.0,5.0,1799.0,2.0,6.0,0.0,0.3333333333333333,0.3333333333333333,0.0,4.0,3.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,2.0,1.0,112.0,4.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,4.0,5.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,1.0,115.33333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,2.0,6.3,25.4,4.0,0
141.0,1.0,4.0,6.0,2.0,3.0,2.0,3.0,5.0,3.0,5.0,7.0,4.0,6.0,2.0,4.0,0.079,0.0,4.0,4.0,1.0,3.0,2.0,1.0,0.0,1666.0,2.0,6.0,0.0,0.0,0.3333333333333333,0.0,0.0,3.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,96.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,2.0,4.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,5.0,0.0,3.0,3.0,3.0,5.0,0.0,0.0,4.0,6.0,4.0,1.0,0.0,6.0,1.0,7.0,0.0,0.0,70.66666666666667,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,2.0,3.0,24.0,9.0,0
145.0,2.0,5.0,7.0,1.0,3.0,0.0,4.0,1.0,2.0,4.0,7.0,6.0,6.0,4.0,0.0,0.16,0.0,4.0,4.0,1.0,1.0,2.0,3.0,3.0,1632.0,2.0,6.0,0.0,0.0,0.3333333333333333,0.0,2.0,3.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,2.0,1.0,72.0,3.0,2.0,3.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,4.0,1.0,4.0,2.0,2.0,6.0,1.0,7.0,0.0,2.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,46.0,10.0,6.42
147.0,4.0,5.0,7.0,4.0,3.0,0.0,4.0,1.0,1.0,4.0,4.0,6.0,6.0,4.0,4.0,0.01,0.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1516.0,2.0,6.0,0.0,0.3333333333333333,0.3333333333333333,0.0,4.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,64.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,1.0,3.0,1.0,4.0,2.0,3.0,5.0,1.0,4.0,1.0,2.0,6.0,1.0,7.0,0.0,2.0,183.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,95.0,10.0,6.97
148.0,2.0,5.0,7.0,1.0,3.0,0.0,4.0,1.0,1.0,2.0,6.0,6.0,6.0,5.0,4.0,0.41,0.0,4.0,4.0,1.0,2.0,2.0,3.0,4.0,1348.0,1.0,6.0,0.0,0.6666666666666666,0.3333333333333333,0.0,4.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,64.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,2.0,2.0,1.0,4.0,1.0,3.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,7.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,2.0,0.0,31.3,10.0,7.89
153.0,2.0,6.0,6.0,1.0,3.0,0.0,3.0,3.0,3.0,5.0,7.0,5.0,6.0,4.0,4.0,0.42,0.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,1677.0,2.0,6.0,1.0,0.0,0.3333333333333333,0.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,3.0,4.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,0.0,84.66666666666667,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,7.7,55.8,2.0,0
154.0,4.0,5.0,7.0,1.0,3.0,0.0,5.0,5.0,3.0,5.0,3.0,4.0,6.0,1.0,4.0,0.72,0.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,1455.0,0.0,5.0,0.0,1.0,0.3333333333333333,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,192.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,5.0,1.0,5.0,1.0,5.0,4.0,5.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,2.0,2.0,8.3,109.86666666666667,2.0,6.43
155.0,4.0,5.0,7.0,1.0,3.0,0.0,4.0,4.0,3.0,3.0,7.0,6.0,6.0,4.0,4.0,0.31,1.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,1609.0,2.0,6.0,0.0,0.3333333333333333,0.3333333333333333,0.0,4.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,232.0,0.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,5.0,1.0,4.0,4.0,5.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,2.0,2.0,6.0,1.0,7.0,0.0,1.0,160.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,158.0,2.0,6.28
156.0,2.0,4.0,7.0,4.0,3.0,0.0,4.0,3.0,3.0,5.0,7.0,5.0,6.0,5.0,2.0,0.09,1.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1516.0,2.0,6.0,0.0,0.3333333333333333,0.3333333333333333,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,72.0,4.0,4.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,5.0,2.0,2.0,1.0,4.0,1.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,4.0,2.0,2.0,4.0,1.0,4.0,1.0,0.0,6.0,1.0,7.0,0.0,1.0,140.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,5.0,2.0,0.0,100.0,2.0,6.02
160.0,1.0,5.0,7.0,2.0,3.0,0.0,4.0,2.0,2.0,3.0,7.0,4.0,6.0,5.0,4.0,0.57,1.0,4.0,4.0,2.0,2.0,2.0,3.0,5.0,1329.0,2.0,6.0,0.0,1.0,0.3333333333333333,0.0,4.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,232.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,7.0,0.0,0.0,176.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,48.7,2.0,6.92
